Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
milk_consumption,modeler,bart,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bart.txt,0.022609,0.130420,0.324130,0.137184,0.180072,44.771205
milk_consumption,modeler,bert,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bert.txt,0.043834,0.216352,0.452579,0.130000,0.217970,41.084119
milk_consumption,modeler,longformer_ext,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/longformer_ext.txt,0.075760,0.213482,0.499525,0.194101,0.233618,45.230694
milk_consumption,modeler,none,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/none.txt,0.042099,0.304882,0.368764,0.173661,0.200289,51.446576
milk_consumption,modeler,t5,mistral-medium-latest,No,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/01_milk_consumption_none_plot_rep1/02_summaries/t5.txt,0.006508,0.107528,0.277571,0.089441,0.148699,51.168564
milk_consumption,modeler,bart,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/bart.txt,0.036164,0.170102,0.394877,0.117647,0.198506,47.521479
milk_consumption,modeler,bert,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/bert.txt,0.034163,0.207165,0.371409,0.113684,0.193413,28.637145
milk_consumption,modeler,longformer_ext,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/longformer_ext.txt,0.048877,0.165024,0.341509,0.105860,0.166038,32.954592
milk_consumption,modeler,none,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/none.txt,0.021184,0.271482,0.296468,0.115875,0.156920,42.289114
milk_consumption,modeler,t5,mistral-medium-latest,No,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/02_milk_consumption_none_table_rep1/02_summaries/t5.txt,0.003343,0.082138,0.209332,0.048040,0.103405,44.676144
milk_consumption,modeler,bart,mistral-medium-latest,No,No,No,plot+table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/bart.txt,0.029160,0.150877,0.363839,0.102908,0.180804,45.463655
milk_consumption,modeler,bert,mistral-medium-latest,No,No,No,plot+table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/bert.txt,0.042550,0.220525,0.412587,0.120448,0.191608,25.980828
milk_consumption,modeler,longformer_ext,mistral-medium-latest,No,No,No,plot+table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.025429,0.183885,0.368519,0.105751,0.162963,43.727103
milk_consumption,modeler,none,mistral-medium-latest,No,No,No,plot+table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/none.txt,0.034077,0.283541,0.299289,0.140051,0.155903,44.864262
milk_consumption,modeler,t5,mistral-medium-latest,No,No,No,plot+table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/t5.txt,0.008798,0.108667,0.281518,0.093252,0.161567,52.144286
milk_consumption,modeler,bart,mistral-medium-latest,Yes,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_milk_consumption_role_plot_rep1/02_summaries/bart.txt,0.039217,0.168146,0.393701,0.128523,0.197975,53.722500
milk_consumption,modeler,bert,mistral-medium-latest,Yes,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_milk_consumption_role_plot_rep1/02_summaries/bert.txt,0.043591,0.266349,0.468023,0.138282,0.183140,34.297573
milk_consumption,modeler,longformer_ext,mistral-medium-latest,Yes,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_milk_consumption_role_plot_rep1/02_summaries/longformer_ext.txt,0.054038,0.198146,0.423006,0.128253,0.191095,42.807332
milk_consumption,modeler,none,mistral-medium-latest,Yes,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_milk_consumption_role_plot_rep1/02_summaries/none.txt,0.032072,0.279011,0.304348,0.135151,0.160580,46.728237
milk_consumption,modeler,t5,mistral-medium-latest,Yes,No,No,plot,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/04_milk_consumption_role_plot_rep1/02_summaries/t5.txt,0.007005,0.127547,0.332542,0.076190,0.156770,53.860294
milk_consumption,modeler,bart,mistral-medium-latest,Yes,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_milk_consumption_role_table_rep1/02_summaries/bart.txt,0.041897,0.164109,0.364793,0.119022,0.178155,36.035297
milk_consumption,modeler,bert,mistral-medium-latest,Yes,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_milk_consumption_role_table_rep1/02_summaries/bert.txt,0.017778,0.234088,0.399235,0.117497,0.170918,26.909062
milk_consumption,modeler,longformer_ext,mistral-medium-latest,Yes,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_milk_consumption_role_table_rep1/02_summaries/longformer_ext.txt,0.055245,0.199690,0.391881,0.107897,0.182670,44.156471
milk_consumption,modeler,none,mistral-medium-latest,Yes,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_milk_consumption_role_table_rep1/02_summaries/none.txt,0.015370,0.237357,0.245243,0.086016,0.124031,42.595247
milk_consumption,modeler,t5,mistral-medium-latest,Yes,No,No,table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/05_milk_consumption_role_table_rep1/02_summaries/t5.txt,0.012265,0.132071,0.327684,0.081540,0.149153,47.268763
milk_consumption,modeler,bart,mistral-medium-latest,Yes,No,No,plot+table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/bart.txt,0.060308,0.184945,0.407631,0.142857,0.188755,46.477476
milk_consumption,modeler,bert,mistral-medium-latest,Yes,No,No,plot+table,1,results/chains/mistral-medium-latest_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260311_111500_470504/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/bert.txt,0.032636,0.247404,0.403553,0.134689,0.170051,29.021080
